,Country,Category,Time (minutes)
0,Australia,Paid work,211.146629603892
1,Austria,Paid work,279.53226810278
2,Belgium,Paid work,194.476452188763
3,Canada,Paid work,268.660609647898
4,Denmark,Paid work,199.771595915566
5,Estonia,Paid work,230.788021522939
6,Finland,Paid work,200.047879
7,France,Paid work,170.060642467443
8,Germany,Paid work,223.839012333333
9,Greece,Paid work,187.368060303144
10,Hungary,Paid work,199.446772180411
11,Ireland,Paid work,231.22452
12,Italy ,Paid work,148.894551667369
13,Japan,Paid work,325.711372400686
14,Korea,Paid work,287.596845923687
15,Latvia,Paid work,316.55785239539
16,Lithuania,Paid work,303.647286983591
17,Luxembourg,Paid work,247.225461265374
18,Mexico,Paid work,302.333564
19,Netherlands,Paid work,217.630356318106
20,New Zealand,Paid work,241.0
21,Norway ,Paid work,200.78622
22,Poland,Paid work,229.279299471607
23,Portugal,Paid work,258.797202797203
24,Slovenia,Paid work,226.685159500693
25,Spain,Paid work,175.7783
26,Sweden,Paid work,262.187136990862
27,Turkey,Paid work,217.02784
28,UK,Paid work,235.493233853676
29,USA,Paid work,251.137774
30,China,Paid work,314.781401804303
31,India,Paid work,271.540982812833
32,South Africa,Paid work,188.80248
33,Australia,Education,27.0187630298819
34,Austria,Education,26.8979495
35,Belgium,Education,41.2771715071275
36,Canada,Education,35.9806368223995
37,Denmark,Education,25.0449977043727
38,Estonia,Education,24.7893447101955
39,Finland,Education,29.04912
40,France,Education,34.1045019989028
41,Germany,Education,24.0421366666667
42,Greece,Education,40.3418236055396
43,Hungary,Education,38.1672312512111
44,Ireland,Education,36.73677
45,Italy ,Education,27.8145064944904
46,Japan,Education,36.98
47,Korea,Education,56.8555212696802
48,Latvia,Education,13.3805744792769
49,Lithuania,Education,11.5678631773108
50,Luxembourg,Education,37.4626732313631
51,Mexico,Education,45.29898
52,Netherlands,Education,25.1566764583058
53,New Zealand,Education,29.0
54,Norway ,Education,40.478844
55,Poland,Education,30.307877310279
56,Portugal,Education,36.2517482517483
57,Slovenia,Education,37.9472954230236
58,Spain,Education,26.236303
59,Sweden,Education,31.2197347841134
60,Turkey,Education,29.04144
61,UK,Education,26.7716760142515
62,USA,Education,31.41891
63,China,Education,24.9826509368494
64,India,Education,23.4384326931682
65,South Africa,Education,38.81066
66,Australia,Care for household members ,44.5309242529534
67,Austria,Care for household members ,33.8877552625332
68,Belgium,Care for household members ,22.0
69,Canada,Care for household members ,29.0
70,Denmark,Care for household members ,28.4956506866908
71,Estonia,Care for household members ,27.9284275980724
72,Finland,Care for household members ,22.9398629
73,France,Care for household members ,22.1165593962761
74,Germany,Care for household members ,18.9016653333333
75,Greece,Care for household members ,19.0
76,Hungary,Care for household members ,33.0
77,Ireland,Care for household members ,60.75594
78,Italy ,Care for household members ,26.6215093373906
79,Japan,Care for household members ,0.0
80,Korea,Care for household members ,27.6956207334889
81,Latvia,Care for household members ,15.0
82,Lithuania,Care for household members ,19.0
83,Luxembourg,Care for household members ,20.0
84,Mexico,Care for household members ,38.211547
85,Netherlands,Care for household members ,21.5730361814749
86,New Zealand,Care for household members ,30.0
87,Norway ,Care for household members ,23.0
88,Poland,Care for household members ,38.0
89,Portugal,Care for household members ,17.1188811188811
90,Slovenia,Care for household members ,20.9708737864078
91,Spain,Care for household members ,35.0
92,Sweden,Care for household members ,32.5364895089942
93,Turkey,Care for household members ,28.504801
94,UK,Care for household members ,32.0535067673879
95,USA,Care for household members ,30.61828
96,China,Care for household members ,22.9840388619015
97,India,Care for household members ,21.4511380749928
98,South Africa,Care for household members ,17.751245
99,Australia,Housework,132.091730368311
100,Austria,Housework,124.591762065258
101,Belgium,Housework,120.539603115655
102,Canada,Housework,114.683447778406
103,Denmark,Housework,127.559551409375
104,Estonia,Housework,120.666090020026
105,Finland,Housework,109.4122
106,France,Housework,128.50020753154
107,Germany,Housework,109.3542
108,Greece,Housework,124.522835539741
109,Hungary,Housework,149.956138746094
110,Ireland,Housework,90.74858
111,Italy ,Housework,134.714272650929
112,Japan,Housework,80.3704725353802
113,Korea,Housework,76.162790481759
114,Latvia,Housework,129.983208711424
115,Lithuania,Housework,154.418287326969
116,Luxembourg,Housework,107.930132115842
117,Mexico,Housework,187.3759
118,Netherlands,Housework,104.93934061698
119,New Zealand,Housework,110.0
120,Norway ,Housework,82.88683
121,Poland,Housework,135.307415313076
122,Portugal,Housework,161.118881118881
123,Slovenia,Housework,165.769764216366
124,Spain,Housework,115.8587
125,Sweden,Housework,107.159879537262
126,Turkey,Housework,123.8981
127,UK,Housework,103.621968656365
128,USA,Housework,99.90052
129,China,Housework,102.92852185982
130,India,Housework,148.400911676364
131,South Africa,Housework,130.3051
132,Australia,Shopping,29.0201528839472
133,Austria,Shopping,20.7324461119906
134,Belgium,Shopping,28.5959056360971
135,Canada,Shopping,24.0954479242964
136,Denmark,Shopping,26.0309028598608
137,Estonia,Shopping,23.9597728019747
138,Finland,Shopping,26.1562
139,France,Shopping,22.1051012956045
140,Germany,Shopping,32.0904666666667
141,Greece,Shopping,16.354266998801
142,Hungary,Shopping,19.2119906963842
143,Ireland,Shopping,27.56674
144,Italy ,Shopping,27.7427282210164
145,Japan,Shopping,24.9289075041054
146,Korea,Shopping,13.2715964695101
147,Latvia,Shopping,15.851147895987
148,Lithuania,Shopping,17.2769022801563
149,Luxembourg,Shopping,23.030768700503
150,Mexico,Shopping,14.17935
151,Netherlands,Shopping,28.2024906217988
152,New Zealand,Shopping,24.0
153,Norway ,Shopping,20.44092
154,Poland,Shopping,25.0228297949979
155,Portugal,Shopping,15.1048951048951
156,Slovenia,Shopping,17.9750346740638
157,Spain,Shopping,25.44376
158,Sweden,Shopping,23.4557433148035
159,Turkey,Shopping,13.95561
160,UK,Shopping,29.4123862027666
161,USA,Shopping,22.01328
162,China,Shopping,19.9861207494795
163,India,Shopping,11.5684164415564
164,South Africa,Shopping,9.480088
165,Australia,Other unpaid work & volunteering,57.539958304378
166,Austria,Other unpaid work & volunteering,31.5386236705689
167,Belgium,Other unpaid work & volunteering,30.0131481323109
168,Canada,Other unpaid work & volunteering,51.6999889484257
169,Denmark,Other unpaid work & volunteering,44.8931933738594
170,Estonia,Other unpaid work & volunteering,40.1280203082399
171,Finland,Other unpaid work & volunteering,80.916035
172,France,Other unpaid work & volunteering,17.3237960153669
173,Germany,Other unpaid work & volunteering,52.5981883333333
174,Greece,Other unpaid work & volunteering,26.0901176499384
175,Hungary,Other unpaid work & volunteering,35.9840757878987
176,Ireland,Other unpaid work & volunteering,71.742231
177,Italy ,Other unpaid work & volunteering,43.1455966873868
178,Japan,Other unpaid work & volunteering,97.7241826669373
179,Korea,Other unpaid work & volunteering,42.3100002052289
