"age","sex","year","contents","10211: Population, by age, sex, year and contents"
"F00-04 0-4 years","0 Both sexes","1846","Persons",170316
"F00-04 0-4 years","0 Both sexes","1847","Persons",171133
"F00-04 0-4 years","0 Both sexes","1848","Persons",170015
"F00-04 0-4 years","0 Both sexes","1849","Persons",170392
"F00-04 0-4 years","0 Both sexes","1850","Persons",176726
"F00-04 0-4 years","0 Both sexes","1851","Persons",180657
"F00-04 0-4 years","0 Both sexes","1852","Persons",184931
"F00-04 0-4 years","0 Both sexes","1853","Persons",186977
"F00-04 0-4 years","0 Both sexes","1854","Persons",191445
"F00-04 0-4 years","0 Both sexes","1855","Persons",196573
"F00-04 0-4 years","0 Both sexes","1856","Persons",201535
"F00-04 0-4 years","0 Both sexes","1857","Persons",205165
"F00-04 0-4 years","0 Both sexes","1858","Persons",210921
"F00-04 0-4 years","0 Both sexes","1859","Persons",217454
"F00-04 0-4 years","0 Both sexes","1860","Persons",222382
"F00-04 0-4 years","0 Both sexes","1861","Persons",226133
"F00-04 0-4 years","0 Both sexes","1862","Persons",223185
"F00-04 0-4 years","0 Both sexes","1863","Persons",221709
"F00-04 0-4 years","0 Both sexes","1864","Persons",223758
"F00-04 0-4 years","0 Both sexes","1865","Persons",224555
"F00-04 0-4 years","0 Both sexes","1866","Persons",230461
"F00-04 0-4 years","0 Both sexes","1867","Persons",233857
"F00-04 0-4 years","0 Both sexes","1868","Persons",230817
"F00-04 0-4 years","0 Both sexes","1869","Persons",226117
"F00-04 0-4 years","0 Both sexes","1870","Persons",220817
"F00-04 0-4 years","0 Both sexes","1871","Persons",216884
"F00-04 0-4 years","0 Both sexes","1872","Persons",215029
"F00-04 0-4 years","0 Both sexes","1873","Persons",216826
"F00-04 0-4 years","0 Both sexes","1874","Persons",219049
"F00-04 0-4 years","0 Both sexes","1875","Persons",223845
"F00-04 0-4 years","0 Both sexes","1876","Persons",229606
"F00-04 0-4 years","0 Both sexes","1877","Persons",234503
"F00-04 0-4 years","0 Both sexes","1878","Persons",240541
"F00-04 0-4 years","0 Both sexes","1879","Persons",247071
"F00-04 0-4 years","0 Both sexes","1880","Persons",254381
"F00-04 0-4 years","0 Both sexes","1881","Persons",256749
"F00-04 0-4 years","0 Both sexes","1882","Persons",255085
"F00-04 0-4 years","0 Both sexes","1883","Persons",251150
"F00-04 0-4 years","0 Both sexes","1884","Persons",250840
"F00-04 0-4 years","0 Both sexes","1885","Persons",252007
"F00-04 0-4 years","0 Both sexes","1886","Persons",256184
"F00-04 0-4 years","0 Both sexes","1887","Persons",260679
"F00-04 0-4 years","0 Both sexes","1888","Persons",264746
"F00-04 0-4 years","0 Both sexes","1889","Persons",264812
"F00-04 0-4 years","0 Both sexes","1890","Persons",262137
"F00-04 0-4 years","0 Both sexes","1891","Persons",262034
"F00-04 0-4 years","0 Both sexes","1892","Persons",264082
"F00-04 0-4 years","0 Both sexes","1893","Persons",262030
"F00-04 0-4 years","0 Both sexes","1894","Persons",264781
"F00-04 0-4 years","0 Both sexes","1895","Persons",266239
"F00-04 0-4 years","0 Both sexes","1896","Persons",269690
"F00-04 0-4 years","0 Both sexes","1897","Persons",272379
"F00-04 0-4 years","0 Both sexes","1898","Persons",277590
"F00-04 0-4 years","0 Both sexes","1899","Persons",282612
"F00-04 0-4 years","0 Both sexes","1900","Persons",286900
"F00-04 0-4 years","0 Both sexes","1901","Persons",290443
"F00-04 0-4 years","0 Both sexes","1902","Persons",293929
"F00-04 0-4 years","0 Both sexes","1903","Persons",296475
"F00-04 0-4 years","0 Both sexes","1904","Persons",295770
"F00-04 0-4 years","0 Both sexes","1905","Persons",294710
"F00-04 0-4 years","0 Both sexes","1906","Persons",291472
"F00-04 0-4 years","0 Both sexes","1907","Persons",288600
"F00-04 0-4 years","0 Both sexes","1908","Persons",285337
"F00-04 0-4 years","0 Both sexes","1909","Persons",283193
"F00-04 0-4 years","0 Both sexes","1910","Persons",283568
"F00-04 0-4 years","0 Both sexes","1911","Persons",283768
"F00-04 0-4 years","0 Both sexes","1912","Persons",283663
"F00-04 0-4 years","0 Both sexes","1913","Persons",284881
"F00-04 0-4 years","0 Both sexes","1914","Persons",285880
"F00-04 0-4 years","0 Both sexes","1915","Persons",285323
"F00-04 0-4 years","0 Both sexes","1916","Persons",283152
"F00-04 0-4 years","0 Both sexes","1917","Persons",283169
"F00-04 0-4 years","0 Both sexes","1918","Persons",285752
"F00-04 0-4 years","0 Both sexes","1919","Persons",287505
"F00-04 0-4 years","0 Both sexes","1920","Persons",284819
"F00-04 0-4 years","0 Both sexes","1921","Persons",295179
"F00-04 0-4 years","0 Both sexes","1922","Persons",298418
"F00-04 0-4 years","0 Both sexes","1923","Persons",297806
"F00-04 0-4 years","0 Both sexes","1924","Persons",296851
"F00-04 0-4 years","0 Both sexes","1925","Persons",296448
"F00-04 0-4 years","0 Both sexes","1926","Persons",283001
"F00-04 0-4 years","0 Both sexes","1927","Persons",274097
"F00-04 0-4 years","0 Both sexes","1928","Persons",262805
"F00-04 0-4 years","0 Both sexes","1929","Persons",252345
"F00-04 0-4 years","0 Both sexes","1930","Persons",243234
"F00-04 0-4 years","0 Both sexes","1931","Persons",237860
"F00-04 0-4 years","0 Both sexes","1932","Persons",229821
"F00-04 0-4 years","0 Both sexes","1933","Persons",225078
"F00-04 0-4 years","0 Both sexes","1934","Persons",217766
"F00-04 0-4 years","0 Both sexes","1935","Persons",212082
"F00-04 0-4 years","0 Both sexes","1936","Persons",206057
"F00-04 0-4 years","0 Both sexes","1937","Persons",202711
"F00-04 0-4 years","0 Both sexes","1938","Persons",201407
"F00-04 0-4 years","0 Both sexes","1939","Persons",204806
"F00-04 0-4 years","0 Both sexes","1940","Persons",209640
"F00-04 0-4 years","0 Both sexes","1941","Persons",216154
"F00-04 0-4 years","0 Both sexes","1942","Persons",219679
"F00-04 0-4 years","0 Both sexes","1943","Persons",228866
"F00-04 0-4 years","0 Both sexes","1944","Persons",240423
"F00-04 0-4 years","0 Both sexes","1945","Persons",255520
"F00-04 0-4 years","0 Both sexes","1946","Persons",269448
"F00-04 0-4 years","0 Both sexes","1947","Persons",294716
"F00-04 0-4 years","0 Both sexes","1948","Persons",309287
"F00-04 0-4 years","0 Both sexes","1949","Persons",318019
"F00-04 0-4 years","0 Both sexes","1950","Persons",319131
"F00-04 0-4 years","0 Both sexes","1951","Persons",320409
"F00-04 0-4 years","0 Both sexes","1952","Persons",310154
"F00-04 0-4 years","0 Both sexes","1953","Persons",305230
"F00-04 0-4 years","0 Both sexes","1954","Persons",302932
"F00-04 0-4 years","0 Both sexes","1955","Persons",303138
"F00-04 0-4 years","0 Both sexes","1956","Persons",304567
"F00-04 0-4 years","0 Both sexes","1957","Persons",308197
"F00-04 0-4 years","0 Both sexes","1958","Persons",308922
"F00-04 0-4 years","0 Both sexes","1959","Persons",308958
"F00-04 0-4 years","0 Both sexes","1960","Persons",309448
"F00-04 0-4 years","0 Both sexes","1961","Persons",307967
"F00-04 0-4 years","0 Both sexes","1962","Persons",306660
"F00-04 0-4 years","0 Both sexes","1963","Persons",306381
"F00-04 0-4 years","0 Both sexes","1964","Persons",306749
"F00-04 0-4 years","0 Both sexes","1965","Persons",309526
"F00-04 0-4 years","0 Both sexes","1966","Persons",314120
"F00-04 0-4 years","0 Both sexes","1967","Persons",317799
"F00-04 0-4 years","0 Both sexes","1968","Persons",322421
"F00-04 0-4 years","0 Both sexes","1969","Persons",327169
"F00-04 0-4 years","0 Both sexes","1970","Persons",330061
"F00-04 0-4 years","0 Both sexes","1971","Persons",329149
"F00-04 0-4 years","0 Both sexes","1972","Persons",328608
"F00-04 0-4 years","0 Both sexes","1973","Persons",326960
"F00-04 0-4 years","0 Both sexes","1974","Persons",321176
"F00-04 0-4 years","0 Both sexes","1975","Persons",313558
"F00-04 0-4 years","0 Both sexes","1976","Persons",305474
"F00-04 0-4 years","0 Both sexes","1977","Persons",293884
"F00-04 0-4 years","0 Both sexes","1978","Persons",281183
"F00-04 0-4 years","0 Both sexes","1979","Persons",271819
"F00-04 0-4 years","0 Both sexes","1980","Persons",263512
"F00-04 0-4 years","0 Both sexes","1981","Persons",258515
"F00-04 0-4 years","0 Both sexes","1982","Persons",256159
